sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,budget_change_pct,priority,cpc_rate
05-08-2025 - SE - Willys - Overlay,Adset 1 - Copy,120231114652050255,120231114575270255,2025-08-07,113,66,58.41,7.08,0.1613,18.23,103,8,18.49,21.6,3.37,SE,Sweden,1.1848600556851314,0.07079645955047381,0.18486011053976353,-1,INCREASE_BUDGET,Outlier ROI 18.5%,Increase budget by 4%,4,2,STANDARD
01-08-2025 - DE - Action - NEW,Adset 3,120238290950240386,120238290039790386,2025-08-07,138,87,63.04,7.97,0.2954,40.76,125,11,16.05,47.3,6.54,DE,Germany,1.1604513944933417,0.07971014434992649,0.16045141902719778,-1,INCREASE_BUDGET,Outlier ROI 16.1%,Increase budget by 3%,3,2,STANDARD
01-08-2025 - US - Aldi - NEW,Adset 1,120229856130070075,120229856129820075,2025-08-07,158,104,65.82,6.96,0.2102,33.2085,145,11,13.82,37.8,4.59,US,United States,1.1382627598878974,0.06962025272392246,0.1382176208435304,-1,INCREASE_BUDGET,Outlier ROI 13.8%,Increase budget by 3%,3,2,STANDARD
05-08-2025 - SE - Rusta - Overlay,Adset 5,120228897437570232,120228897071150232,2025-08-07,52,24,46.15,9.62,0.231,12.01,46,5,12.41,13.5,1.49,SE,Sweden,1.1240631870055633,0.09615384430473377,0.1240632702695029,-1,INCREASE_BUDGET,Outlier ROI 12.4%,Increase budget by 2%,2,2,STANDARD
04-08-2025 - DE - Makita,Adset 1,120228282798990519,120228282799010519,2025-08-07,110,67,60.91,9.09,0.3555,39.1,97,10,9.97,43.0,3.9,DE,Germany,1.0997442173978462,0.09090909008264464,0.09974424297329301,-1,INCREASE_BUDGET,Outlier ROI 10.0%,Increase budget by 2%,2,2,STANDARD
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #5,120231940067790400,120231939970540400,2025-08-07,55,43,78.18,10.91,0.2171,11.94,54,6,-5.13,11.33,-0.61,UK,United Kingdom,0.9489111433072746,0.10909090710743806,-0.05108877294063879,-1,OPTIMIZE,Outlier with slightly negative ROI -5.1%,Decrease budget by 3%,-3,4,STANDARD
05-08-2025 - SE - Rusta,Adset 3,120228896933630232,120228896228860232,2025-08-07,19,10,52.63,10.53,0.3053,5.8,18,2,-6.9,5.4,-0.4,SE,Sweden,0.9310343222354618,0.10526315235457093,-0.06896550535077495,-1,OPTIMIZE,Outlier with slightly negative ROI -6.9%,Decrease budget by 3%,-3,4,STANDARD
07-07-2025 - US - Aldi - Creative 2,Adset #5,120227960912670075,120227960801870075,2025-08-07,34,17,50.0,8.82,0.33,11.22,28,3,-8.3,10.29,-0.93,US,United States,0.9171122177261838,0.08823529152249143,-0.08288769314726444,-1,OPTIMIZE,Outlier with slightly negative ROI -8.3%,Decrease budget by 4%,-4,4,HIGH
06-08-2025 - IT - Douglas,Adset 3,120232364533560628,120232364280140628,2025-08-07,82,47,57.32,6.1,0.1102,9.04,75,5,-11.5,8.0,-1.04,IT,Italy,0.884955654319065,0.060975609012492576,-0.11504423506147844,-1,OPTIMIZE,Outlier with slightly negative ROI -11.5%,Decrease budget by 6%,-6,4,STANDARD
05-08-2025 - UK - Dove - NEW - Overlay,Adset 1,120233373529590400,120233373529430400,2025-08-07,37,15,40.54,13.51,0.2919,10.8,29,5,-12.49,9.45,-1.35,UK,United Kingdom,0.8749999189814889,0.1351351314828343,-0.12499998842592701,-1,OPTIMIZE,Outlier with slightly negative ROI -12.5%,Decrease budget by 6%,-6,4,STANDARD
