sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,priority
01-08-2025 - UK - Dove - NEW,Adset 3,120233125878760400,120233123432860400,2025-08-03,1,1,100.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,UK,United Kingdom,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - US - Aldi - NEW,Adset 3,120229856581970075,120229856129820075,2025-08-03,1,1,100.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,US,United States,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Creative 1,Adset #1,120233619754100226,120233619752500226,2025-08-03,10,6,60.0,0.0,0.0,0.0,9,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Creative 10,Adset #1,120233620000420226,120233619999520226,2025-08-03,7,6,85.71,14.29,0.0,0.0,7,1,0.0,4.5,4.5,DE,Germany,4500000.0,0.1428571224,4500000.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Creative 3,Adset #1,120233619817660226,120233619816620226,2025-08-03,6,5,83.33,0.0,0.0,0.0,6,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Creative 6,Adset #1,120233619903790226,120233619901640226,2025-08-03,5,3,60.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Creative 7,Adset #1,120233619932580226,120233619931360226,2025-08-03,7,5,71.43,14.29,0.0,0.0,7,1,0.0,4.5,4.5,DE,Germany,4500000.0,0.1428571224,4500000.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Creative 9,Adset #1,120233619979870226,120233619978100226,2025-08-03,8,3,37.5,12.5,0.0,0.0,7,1,0.0,4.5,4.5,DE,Germany,4500000.0,0.1249999844,4500000.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Script 2 - Creative 1,Adset #1,120233621061590226,120233621059930226,2025-08-03,6,2,33.33,0.0,0.0,0.0,5,0,0.0,0.0,0.0,DE,Germany,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Barilla - Script 2 - Creative 2,Adset #1,120233621085380226,120233621085130226,2025-08-03,9,6,66.67,11.11,0.0,0.0,7,1,0.0,4.5,4.5,DE,Germany,4500000.0,0.1111110988,4500000.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
